@relation 'CBCK-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Remove-R3-4,7-13'

@attribute CBO numeric
@attribute WNC numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute LOC numeric
@attribute CLASS {GA,RANDOM}

@data
1,2,1,1,40,GA
1,2,1,1,40,GA
16,312,141,1042,1785,RANDOM
5,2,0,1,11,GA
11,22,1,171,224,GA
10,20,1,136,206,GA
4,5,1,10,52,RANDOM
1,2,1,1,40,GA
2,4,1,0,62,GA
1,2,1,1,40,GA
3,61,48,37,230,GA
10,31,39,158,246,GA
2,1,0,0,7,GA
8,16,1,78,170,GA
5,10,1,21,116,GA
4,21,20,16,111,GA
1,1,1,0,17,RANDOM
9,6,7,3,54,GA
2,32,45,83,242,GA
2,5,7,0,50,GA
5,6,13,6,74,GA
2,154,50,88,555,RANDOM
14,82,70,298,330,GA
1,2,1,1,40,GA
8,16,1,78,170,GA
1,2,1,1,40,GA
12,31,42,57,204,GA
4,37,21,29,229,GA
2,9,9,12,170,RANDOM
9,28,24,59,194,RANDOM
0,2,3,1,22,GA
11,22,1,171,224,GA
8,16,1,78,170,GA
1,2,1,1,40,GA
6,3,4,3,40,GA
9,18,1,105,188,GA
3,6,1,3,80,GA
7,9,15,10,136,GA
12,60,48,0,230,GA
2,4,1,0,62,GA
9,18,1,105,188,GA
10,20,1,136,206,GA
1,6,0,9,31,GA
6,29,37,55,464,GA
23,69,60,221,286,RANDOM
4,29,46,97,204,GA
6,12,1,36,134,GA
3,6,1,3,80,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
7,13,15,0,137,GA
4,15,16,0,80,GA
1,2,1,1,40,GA
9,29,15,33,176,GA
1,2,1,1,40,GA
0,4,0,0,25,RANDOM
3,38,22,143,192,GA
4,25,12,50,185,GA
1,2,1,1,40,GA
8,21,11,21,234,GA
6,50,34,190,283,GA
5,11,20,15,140,RANDOM
3,11,19,2,77,GA
0,3,2,1,43,RANDOM
1,2,1,1,40,GA
0,2,0,1,39,RANDOM
0,4,1,4,51,GA
2,4,1,6,56,RANDOM
4,5,13,3,52,GA
16,62,54,135,432,GA
6,12,1,36,134,GA
1,2,1,1,40,GA
2,9,7,0,45,GA
14,108,133,1213,494,RANDOM
1,3,2,0,42,GA
1,2,1,1,40,GA
5,10,1,21,116,GA
31,19,55,120,346,GA
10,31,31,13,158,GA
1,2,1,1,40,GA
3,5,1,0,32,GA
3,1,0,0,26,GA
1,2,1,1,41,GA
12,18,24,29,136,RANDOM
4,9,9,0,65,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
69,138,1,9045,1268,GA
3,35,12,0,226,GA
9,14,7,15,94,GA
9,18,1,105,188,GA
2,13,8,15,37,RANDOM
18,58,114,324,636,GA
2,3,0,3,29,GA
7,24,41,0,205,GA
1,2,1,1,40,GA
5,44,23,425,320,GA
1,2,1,1,40,GA
0,4,2,1,60,GA
3,6,1,3,80,GA
15,48,49,60,271,GA
4,11,18,26,147,GA
1,6,1,0,60,GA
2,41,40,0,267,GA
28,27,16,171,168,GA
1,2,1,1,40,GA
13,29,55,20,369,GA
0,14,16,21,153,RANDOM
0,4,0,2,63,GA
1,2,1,1,40,GA
5,15,15,0,62,GA
2,2,6,1,32,RANDOM
10,16,40,22,155,GA
11,13,10,54,94,RANDOM
11,16,24,0,155,GA
6,9,5,4,57,GA
31,69,55,397,418,RANDOM
17,34,1,465,332,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
7,17,19,4,103,GA
1,11,0,1,93,GA
11,8,6,13,77,RANDOM
4,7,0,6,50,RANDOM
1,2,1,1,40,RANDOM
6,12,1,36,134,GA
4,2,5,1,46,GA
2,13,7,0,108,GA
11,22,1,171,224,GA
0,0,0,0,28,RANDOM
1,1,0,0,8,RANDOM
1,2,1,1,40,GA
12,24,1,210,242,GA
0,28,3,81,216,GA
13,26,1,253,260,GA
0,15,6,0,129,GA
0,2,0,1,71,GA
0,0,0,0,28,RANDOM
2,4,2,4,46,GA
1,6,1,6,44,GA
5,9,0,36,96,GA
2,10,0,45,139,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
0,117,10,1604,419,GA
4,1,1,0,33,GA
1,2,1,1,40,GA
2,4,0,6,14,RANDOM
8,56,40,207,440,GA
1,2,1,1,40,GA
8,16,1,78,170,GA
8,42,50,140,343,GA
1,2,1,1,40,GA
5,10,1,21,116,GA
3,5,2,10,98,GA
9,18,1,105,188,GA
2,2,4,0,59,GA
0,1,0,0,42,RANDOM
6,7,7,3,134,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
8,34,25,95,282,GA
4,8,1,10,98,GA
6,15,5,0,65,GA
4,24,19,6,162,GA
0,0,0,0,3,RANDOM
2,8,6,6,97,GA
6,41,30,7,302,RANDOM
6,4,6,1,37,GA
4,1,1,0,15,GA
0,6,11,6,99,GA
2,0,0,0,47,RANDOM
4,8,7,15,94,GA
9,11,20,21,100,GA
1,1,0,0,22,GA
10,24,58,101,212,GA
0,5,5,1,50,GA
9,18,1,105,188,GA
1,2,1,1,40,GA
12,13,7,8,88,GA
7,27,14,70,237,GA
5,32,33,102,191,GA
4,11,18,35,88,GA
1,2,1,1,40,GA
8,8,6,10,93,RANDOM
4,7,18,6,98,GA
1,22,4,0,152,GA
8,13,15,0,83,GA
1,2,1,1,40,GA
15,66,41,21,414,RANDOM
9,18,1,105,188,GA
0,6,4,1,56,GA
0,3,2,0,49,GA
6,12,1,36,134,GA
0,9,16,0,63,RANDOM
2,8,13,3,101,GA
1,2,1,1,40,GA
20,40,1,666,386,GA
9,38,43,152,315,GA
8,30,38,0,323,GA
0,21,7,21,140,GA
1,43,22,72,275,GA
3,4,5,1,29,GA
11,22,1,171,224,GA
4,5,7,6,48,GA
1,5,2,0,30,GA
5,11,20,15,140,RANDOM
1,2,1,1,40,GA
0,6,5,4,33,GA
1,2,1,1,40,GA
1,12,5,3,130,GA
1,2,1,1,40,GA
5,37,75,76,294,GA
3,3,6,1,48,GA
2,4,2,2,21,RANDOM
26,15,31,6,448,GA
14,55,41,22,465,GA
8,45,24,35,257,GA
1,2,1,1,40,GA
3,6,5,3,65,RANDOM
18,17,35,136,201,RANDOM
4,4,6,1,26,RANDOM
4,13,23,0,136,GA
13,26,1,253,260,GA
3,11,5,24,57,RANDOM
17,164,177,698,1174,GA
4,12,15,1,95,GA
2,1,0,0,16,RANDOM
0,4,2,3,53,RANDOM
3,6,1,3,80,GA
1,8,0,8,24,GA
14,37,27,205,284,RANDOM
3,27,4,0,143,GA
6,21,11,5,117,GA
4,8,1,10,98,GA
5,10,1,21,116,GA
9,6,22,0,146,GA
10,20,1,136,206,GA
3,13,0,46,158,GA
2,4,1,0,62,GA
1,1,0,0,25,GA
6,79,81,171,360,GA
6,4,6,0,44,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,GA
6,12,1,36,134,GA
1,2,0,1,62,GA
7,13,21,0,106,GA
1,2,1,1,40,GA
0,5,4,8,77,GA
0,0,0,0,6,RANDOM
0,0,0,0,25,RANDOM
9,18,1,105,188,GA
1,2,0,1,14,RANDOM
25,105,87,78,555,GA
1,2,1,1,40,GA
5,59,46,433,388,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
7,10,15,0,125,GA
8,16,1,78,170,GA
7,14,1,55,152,GA
7,38,19,194,355,GA
74,266,211,3454,1553,RANDOM
2,8,5,28,32,GA
12,24,1,210,242,GA
1,2,1,1,40,GA
6,12,1,36,134,GA
4,13,13,46,59,GA
0,4,0,6,23,RANDOM
5,5,20,0,110,GA
0,0,0,0,12,RANDOM
5,9,16,26,164,RANDOM
12,29,47,29,267,GA
4,8,1,10,98,GA
1,2,0,1,12,GA
7,14,1,55,152,GA
2,2,1,1,14,GA
2,11,10,8,63,GA
12,70,60,66,285,GA
4,11,18,3,87,GA
1,12,11,0,69,GA
5,2,5,0,53,GA
0,7,0,7,35,RANDOM
7,14,1,55,152,GA
2,7,8,0,47,GA
2,3,1,1,67,RANDOM
1,2,1,1,40,GA
8,14,18,3,63,RANDOM
3,1,1,0,12,RANDOM
1,2,1,1,40,GA
0,2,3,0,27,GA
5,10,35,9,79,RANDOM
0,3,4,3,61,RANDOM
12,24,1,210,242,GA
5,10,1,21,116,GA
15,30,1,351,296,GA
7,21,17,0,144,GA
2,1,0,0,6,RANDOM
11,22,1,171,224,GA
1,2,1,1,40,GA
8,103,59,188,611,GA
3,14,4,0,118,RANDOM
1,2,1,1,40,GA
5,10,1,21,116,GA
5,10,6,0,56,GA
18,34,20,198,180,GA
2,1,2,0,20,RANDOM
5,31,13,152,289,GA
4,9,5,7,92,GA
6,12,1,36,134,GA
9,18,1,105,188,GA
8,12,12,18,55,GA
2,2,1,1,31,GA
1,3,2,1,54,GA
0,1,1,0,46,RANDOM
6,4,2,0,43,GA
1,2,1,1,40,GA
7,14,1,55,152,GA
5,139,66,2060,925,GA
16,44,92,111,473,GA
0,3,6,0,35,RANDOM
6,76,30,411,417,GA
14,28,51,0,285,RANDOM
3,3,3,0,26,RANDOM
2,7,18,3,53,GA
7,14,1,55,152,GA
2,14,17,0,119,GA
15,30,1,351,296,GA
2,5,2,0,32,GA
1,2,1,1,40,GA
9,8,13,8,103,GA
0,2,0,1,14,RANDOM
0,9,0,28,163,GA
6,12,1,36,134,GA
8,16,1,78,170,GA
4,2,11,1,57,RANDOM
0,2,0,0,40,GA
3,6,1,3,80,GA
10,20,1,136,206,GA
1,8,0,20,105,GA
2,7,6,6,73,RANDOM
4,9,6,0,67,GA
8,16,1,78,170,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
2,11,0,7,61,RANDOM
7,14,1,55,152,GA
8,42,48,149,262,GA
2,28,18,21,138,GA
9,3,2,3,56,RANDOM
11,43,46,151,359,GA
8,16,1,78,170,GA
0,4,8,0,44,RANDOM
6,12,1,36,134,GA
13,92,46,231,381,GA
1,2,1,1,40,GA
1,9,0,0,62,RANDOM
4,3,8,1,50,RANDOM
1,4,0,2,46,GA
1,2,1,1,40,GA
7,14,1,55,152,GA
0,3,0,3,50,RANDOM
2,67,20,0,378,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
7,14,1,55,152,GA
2,2,1,1,30,GA
5,59,45,729,241,RANDOM
1,2,1,1,40,GA
1,1,0,0,19,GA
16,115,3,2099,663,GA
0,1,0,0,23,RANDOM
1,5,18,1,83,GA
2,1,0,0,36,GA
0,1,0,0,15,RANDOM
6,6,13,1,49,GA
3,19,32,20,135,GA
3,41,45,0,187,GA
1,2,1,1,40,GA
152,304,1,45150,2762,GA
14,41,29,298,289,GA
1,2,1,1,40,GA
13,26,1,253,260,GA
7,39,18,235,382,GA
3,17,17,0,110,GA
7,14,1,55,152,GA
1,2,0,1,14,RANDOM
3,18,13,120,138,GA
10,15,24,0,117,GA
1,2,1,1,40,GA
5,39,48,99,294,GA
4,17,15,4,167,GA
1,2,1,1,40,GA
28,124,100,0,1366,RANDOM
1,2,1,1,40,GA
4,10,10,0,74,RANDOM
4,6,1,9,106,GA
1,2,1,1,40,GA
0,15,0,91,264,GA
19,91,75,611,494,RANDOM
2,4,7,0,28,RANDOM
7,14,1,55,152,GA
11,22,1,171,224,GA
3,13,28,35,103,GA
0,5,0,2,39,GA
5,36,32,195,202,RANDOM
6,9,21,21,126,GA
1,3,13,0,48,GA
11,9,11,0,86,GA
2,7,12,10,126,GA
1,16,28,26,135,RANDOM
1,2,1,1,40,GA
4,6,8,3,100,GA
6,12,1,36,134,GA
1,2,1,1,40,GA
9,17,19,6,109,GA
0,10,3,36,68,RANDOM
8,16,9,10,114,GA
2,18,37,40,274,GA
8,16,9,10,114,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
3,6,10,11,32,GA
0,7,0,15,135,GA
2,3,1,1,63,RANDOM
8,18,2,153,91,RANDOM
4,29,13,3,132,RANDOM
3,6,1,3,80,GA
4,9,13,0,59,GA
11,55,47,3,245,GA
2,7,10,4,72,GA
11,22,1,171,224,GA
1,2,1,1,40,GA
27,157,199,1601,903,GA
4,11,0,43,126,GA
1,2,0,1,35,RANDOM
3,5,8,1,80,GA
2,11,8,0,82,GA
3,98,79,2070,615,GA
12,9,6,11,73,GA
4,11,8,30,180,GA
7,51,24,78,321,GA
1,2,1,1,40,GA
2,2,6,1,17,GA
1,4,0,0,51,GA
2,8,14,0,50,GA
3,108,8,5240,497,GA
1,2,1,1,40,GA
1,7,12,11,68,GA
1,4,3,6,48,GA
6,8,12,3,74,RANDOM
5,45,28,528,215,GA
7,17,19,53,182,GA
8,16,1,78,170,GA
7,14,1,55,152,GA
3,3,5,1,59,GA
1,2,0,1,35,RANDOM
9,18,1,105,188,GA
9,18,1,105,188,GA
5,10,1,21,116,GA
0,4,3,0,32,GA
12,23,46,52,202,GA
20,9,35,6,110,GA
21,68,45,36,485,GA
0,1,7,0,30,RANDOM
7,14,1,55,152,GA
3,6,1,3,80,GA
9,22,16,19,153,RANDOM
1,3,5,0,46,GA
3,6,1,3,80,GA
4,8,6,10,72,RANDOM
15,62,62,376,392,GA
1,2,1,1,40,GA
0,13,8,9,76,GA
12,24,1,210,242,GA
7,16,9,10,114,GA
0,2,0,1,10,RANDOM
1,2,1,1,40,GA
7,14,1,55,152,GA
11,22,1,171,224,GA
1,5,2,0,90,GA
6,60,20,160,249,GA
2,3,0,3,31,RANDOM
2,118,26,0,711,RANDOM
0,4,1,6,78,RANDOM
5,26,41,139,276,GA
11,11,14,3,99,RANDOM
2,2,4,0,28,GA
9,18,1,105,188,GA
2,4,3,0,26,GA
3,10,17,4,91,GA
1,15,12,81,77,GA
1,2,1,1,40,GA
2,2,1,1,12,GA
0,1,2,0,46,GA
1,15,14,0,113,GA
8,47,28,1081,223,GA
2,3,3,0,38,GA
2,4,4,1,54,GA
4,6,4,1,44,GA
7,4,1,3,72,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
22,44,1,820,422,GA
3,12,7,0,107,GA
3,3,4,0,49,GA
1,1,8,0,38,GA
24,56,64,457,339,GA
1,4,7,1,66,GA
6,4,8,0,75,GA
6,6,18,1,68,GA
1,2,1,1,40,GA
1,1,0,0,8,RANDOM
7,49,8,5,511,GA
1,2,1,1,40,GA
2,10,5,12,79,RANDOM
1,2,0,0,17,RANDOM
3,2,0,0,24,GA
16,58,65,60,366,GA
6,9,13,0,131,GA
9,51,57,97,318,GA
13,26,1,253,260,GA
7,14,1,55,152,GA
1,2,1,1,40,GA
10,20,1,136,206,GA
11,22,1,171,224,GA
12,24,1,210,242,GA
7,14,1,55,152,GA
21,16,35,9,247,GA
0,4,0,2,86,GA
0,25,11,168,163,GA
8,68,51,290,386,RANDOM
0,5,4,10,60,RANDOM
5,33,35,3,202,GA
4,29,19,113,239,GA
0,4,0,6,53,RANDOM
1,2,1,1,40,GA
3,4,8,3,53,GA
8,17,15,0,97,RANDOM
1,2,1,1,47,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,RANDOM
3,4,3,3,23,GA
0,4,2,0,43,RANDOM
1,2,1,1,40,GA
3,39,27,60,209,RANDOM
2,3,1,1,63,RANDOM
1,2,1,1,40,GA
0,2,0,0,14,GA
1,2,1,1,40,GA
4,8,1,10,98,RANDOM
18,36,1,528,350,GA
7,15,25,0,110,GA
1,2,3,1,33,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,GA
7,14,1,55,152,GA
1,9,5,4,62,GA
7,22,53,0,214,GA
3,1,0,0,24,GA
3,7,17,0,82,GA
10,19,33,120,167,GA
0,2,2,0,64,RANDOM
10,10,9,15,89,RANDOM
3,10,15,0,140,GA
1,2,0,1,56,GA
12,15,22,2,96,RANDOM
1,1,1,0,23,GA
2,2,0,1,40,GA
12,24,1,210,242,GA
9,395,49,28,1147,GA
5,42,28,179,347,GA
6,12,1,36,134,GA
4,8,1,10,98,GA
1,2,1,1,40,GA
5,16,22,3,65,RANDOM
1,2,1,1,40,GA
3,2,4,1,44,GA
12,24,1,210,242,GA
4,8,1,10,98,GA
15,95,63,62,923,RANDOM
11,36,43,20,336,GA
6,12,1,36,134,GA
10,20,1,136,206,GA
9,18,1,105,188,GA
9,18,1,105,188,GA
3,9,12,0,58,GA
0,3,6,1,51,GA
2,0,0,0,63,RANDOM
0,4,0,0,57,GA
1,2,1,1,40,GA
15,45,48,157,363,GA
15,55,71,86,358,GA
7,116,80,0,673,GA
1,2,1,1,40,GA
5,10,21,1,135,GA
7,2,4,1,52,RANDOM
3,37,8,213,234,GA
1,2,0,0,66,GA
5,14,27,0,100,GA
1,8,9,0,86,GA
6,12,1,36,134,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,17,17,21,110,GA
7,15,12,0,107,GA
1,12,21,0,144,RANDOM
11,22,1,171,224,GA
6,12,1,36,134,GA
8,13,21,3,92,GA
1,10,0,1,76,GA
3,19,9,0,203,GA
12,140,71,1326,1620,GA
1,2,1,1,40,GA
2,5,8,0,42,GA
3,51,30,269,383,GA
11,22,1,171,224,GA
5,10,4,16,77,GA
6,20,18,0,117,GA
12,24,1,210,242,GA
12,47,50,1,334,GA
7,35,26,12,299,GA
1,12,16,45,74,GA
3,6,1,3,80,RANDOM
8,16,1,78,170,GA
4,8,1,10,98,GA
1,2,1,1,40,GA
31,156,190,940,1255,GA
13,26,1,253,260,GA
7,22,38,28,123,GA
10,43,54,19,281,RANDOM
27,204,26,0,966,RANDOM
7,22,19,68,199,GA
4,6,7,3,43,GA
8,16,1,78,170,GA
1,1,0,0,13,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,GA
10,23,41,2,249,GA
9,53,42,3,243,RANDOM
6,22,21,33,106,GA
4,22,45,20,197,GA
1,2,1,1,40,GA
2,16,0,120,30,GA
13,55,52,153,435,GA
1,10,23,0,97,GA
6,20,29,47,206,GA
27,54,88,236,856,GA
8,16,1,78,170,GA
5,35,7,268,276,RANDOM
10,13,10,62,148,RANDOM
23,89,98,903,489,GA
1,14,10,0,117,GA
2,15,27,1,187,RANDOM
0,3,2,3,47,RANDOM
0,2,0,0,54,GA
8,16,1,78,170,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
7,14,1,55,152,GA
1,71,38,300,340,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
6,12,1,36,134,GA
6,4,23,1,91,GA
1,46,61,68,318,GA
4,2,0,1,45,GA
9,18,1,105,188,GA
12,24,1,210,242,GA
5,17,13,36,142,GA
1,2,1,1,40,GA
4,29,26,0,159,GA
2,6,1,3,58,GA
0,6,4,4,56,GA
1,2,0,1,23,GA
7,12,19,20,106,GA
1,2,1,1,40,GA
1,2,0,1,25,RANDOM
9,29,15,33,176,GA
11,59,81,722,267,GA
3,6,5,6,73,GA
1,9,7,0,105,RANDOM
1,2,1,1,40,GA
6,12,1,36,134,GA
15,30,1,351,296,GA
6,12,1,36,134,GA
4,7,3,0,90,GA
4,71,20,0,222,GA
1,2,1,1,40,GA
0,14,0,77,55,RANDOM
5,10,3,9,65,GA
0,8,8,6,110,GA
3,2,5,0,21,RANDOM
5,17,11,22,90,GA
7,80,64,309,891,RANDOM
5,10,1,21,116,GA
1,7,0,1,74,GA
7,6,2,1,55,GA
6,5,6,6,55,RANDOM
7,11,16,0,131,GA
6,12,1,36,134,GA
27,30,55,406,136,RANDOM
3,21,23,9,203,GA
5,10,1,21,116,GA
28,85,99,1001,654,GA
3,6,1,3,80,GA
1,2,1,1,40,GA
2,2,0,0,20,RANDOM
13,26,1,253,260,GA
3,6,3,4,61,GA
5,18,19,16,90,GA
13,18,38,0,255,GA
12,24,1,210,242,GA
5,19,7,0,106,RANDOM
12,51,59,114,359,GA
1,2,1,1,40,GA
1,3,11,1,46,GA
10,13,10,62,149,RANDOM
7,13,6,39,78,GA
1,2,1,1,40,GA
2,32,24,68,206,GA
13,25,51,118,262,GA
1,2,1,1,40,GA
5,18,25,6,98,GA
12,46,43,118,222,GA
7,14,1,55,152,GA
7,12,6,18,241,GA
1,8,5,0,284,GA
7,14,1,55,152,GA
9,5,8,2,66,GA
4,8,1,10,98,RANDOM
1,16,8,6,144,RANDOM
5,3,1,1,82,GA
2,12,6,6,114,GA
2,8,20,17,98,GA
3,10,12,4,68,GA
13,26,1,253,260,GA
5,5,2,10,36,GA
1,2,1,1,40,GA
6,9,7,9,69,RANDOM
3,43,41,533,338,GA
5,22,28,1,222,GA
1,2,1,1,40,GA
19,38,1,595,368,GA
6,13,20,9,131,GA
4,8,1,10,98,GA
2,13,7,15,90,RANDOM
8,16,1,78,170,GA
16,16,40,1,85,GA
1,2,1,1,40,GA
13,26,1,253,260,GA
15,30,1,351,296,GA
3,21,15,24,101,GA
2,69,67,431,719,RANDOM
0,37,22,555,288,GA
3,25,19,1,161,RANDOM
9,18,1,105,188,GA
2,17,7,38,63,GA
5,10,7,0,85,GA
7,15,19,28,116,GA
1,4,3,1,21,GA
1,2,1,1,40,GA
0,12,0,54,116,RANDOM
6,50,0,484,950,GA
0,13,22,28,85,GA
4,3,2,3,22,RANDOM
13,26,1,253,260,GA
4,8,1,10,98,GA
5,11,12,10,114,RANDOM
3,25,32,50,157,GA
2,28,9,56,205,GA
1,2,1,1,40,GA
9,18,1,105,188,GA
2,21,10,15,165,GA
6,12,1,36,134,GA
1,2,1,1,40,GA
3,5,2,4,55,GA
3,6,1,3,80,GA
3,2,1,0,24,GA
10,40,82,76,283,GA
6,12,1,36,134,GA
10,23,35,16,141,GA
6,12,1,36,134,GA
1,2,1,1,40,GA
14,68,69,918,261,GA
2,13,13,5,109,GA
1,2,1,1,40,GA
4,17,3,0,119,GA
10,35,79,126,571,GA
8,15,8,8,89,GA
1,2,1,1,40,GA
10,12,17,6,81,GA
1,2,1,1,40,GA
9,18,1,105,188,GA
2,4,8,6,58,RANDOM
3,6,1,3,80,GA
1,3,2,0,21,RANDOM
0,1,0,0,33,RANDOM
15,70,101,319,514,GA
8,12,4,10,31,GA
3,1,3,0,50,RANDOM
1,2,1,1,40,GA
7,13,6,39,84,GA
3,9,13,4,50,GA
6,4,3,6,52,GA
3,38,29,10,166,GA
1,6,4,0,60,GA
0,12,7,0,137,GA
7,5,4,1,66,GA
1,23,16,10,194,GA
12,24,1,210,242,GA
1,8,0,20,131,RANDOM
12,24,1,210,242,GA
2,5,7,0,48,GA
1,2,1,1,40,GA
8,16,1,78,170,GA
1,2,1,1,40,GA
5,3,1,1,82,GA
5,22,48,36,181,GA
1,2,1,1,40,GA
14,28,1,300,278,GA
4,8,1,10,98,GA
3,6,24,0,106,GA
6,2,0,1,80,GA
1,2,1,1,40,GA
3,10,14,1,71,GA
8,16,1,78,170,GA
8,16,1,78,170,GA
10,12,10,43,88,RANDOM
0,6,0,3,26,GA
7,16,8,26,163,GA
4,34,19,0,261,GA
3,1,1,0,26,GA
1,2,1,1,40,GA
11,22,1,171,224,GA
6,3,0,3,54,GA
11,22,1,171,224,GA
1,27,9,0,111,GA
10,32,25,266,157,GA
7,15,36,2,149,RANDOM
11,22,1,171,224,GA
1,2,1,1,40,GA
7,32,34,25,356,GA
1,12,13,6,79,RANDOM
13,26,1,253,260,GA
5,7,1,7,91,GA
7,14,1,55,152,GA
32,156,45,0,1384,RANDOM
4,22,15,14,169,RANDOM
1,8,1,0,62,GA
7,14,1,55,152,GA
1,2,1,1,40,GA
1,1,0,0,23,GA
11,115,160,815,714,GA
11,22,1,171,224,GA
7,14,1,55,152,GA
1,4,1,6,48,GA
1,19,14,0,85,RANDOM
3,11,3,47,71,GA
2,7,10,7,57,GA
0,14,4,37,75,GA
4,26,12,279,137,GA
11,22,1,171,224,GA
1,16,19,29,82,GA
1,7,0,8,155,GA
2,88,50,21,387,GA
9,148,85,256,491,RANDOM
1,8,3,11,50,GA
1,5,0,3,125,GA
1,3,0,0,51,RANDOM
5,25,24,0,168,RANDOM
8,16,1,78,170,GA
0,5,2,1,60,RANDOM
4,5,6,10,54,GA
5,10,1,21,116,GA
7,12,16,21,112,GA
0,4,0,4,59,RANDOM
5,29,12,111,268,GA
2,3,1,0,31,GA
13,26,1,253,260,GA
3,6,1,3,80,GA
3,21,14,108,87,RANDOM
1,2,1,1,40,GA
1,5,1,0,42,RANDOM
0,6,3,2,63,GA
6,12,1,36,134,GA
10,48,48,8,477,RANDOM
7,22,12,53,136,GA
2,3,1,1,67,RANDOM
8,16,1,78,170,GA
3,17,9,59,128,GA
13,26,1,253,260,GA
4,31,26,0,414,GA
1,2,1,1,40,GA
21,23,17,65,162,RANDOM
24,58,33,769,364,RANDOM
4,11,2,0,75,GA
2,14,22,8,123,GA
1,2,1,1,40,GA
9,18,1,105,188,GA
1,6,6,0,64,GA
5,18,19,0,200,GA
9,8,4,0,94,RANDOM
2,0,0,0,14,GA
4,2,2,0,32,GA
2,4,6,0,23,GA
1,2,1,1,40,GA
6,12,1,36,134,GA
2,44,2,597,331,GA
2,8,6,0,54,GA
15,30,36,27,206,GA
3,6,0,13,47,GA
1,2,1,1,40,GA
5,9,17,2,60,GA
2,7,12,8,63,GA
3,5,2,1,32,GA
1,1,3,0,21,RANDOM
0,2,0,0,57,GA
1,2,1,1,40,GA
2,9,17,1,54,GA
8,41,56,377,520,GA
16,32,1,406,314,GA
1,1,0,0,9,RANDOM
8,21,22,4,105,GA
1,2,1,1,40,GA
4,8,1,10,98,GA
3,9,5,14,62,GA
3,8,20,4,100,GA
6,5,6,6,55,RANDOM
1,20,11,74,153,RANDOM
6,12,1,36,134,GA
1,2,1,1,40,GA
5,2,0,1,12,GA
12,43,32,24,275,GA
1,2,1,1,40,GA
7,18,9,19,108,GA
5,51,41,68,623,RANDOM
2,11,18,21,145,GA
10,20,1,136,206,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
7,6,7,0,70,GA
2,5,5,0,29,RANDOM
1,0,0,0,4,RANDOM
10,61,68,190,654,GA
1,2,1,1,40,GA
12,24,1,210,242,GA
7,63,39,300,381,GA
3,8,14,0,54,GA
5,18,19,4,198,GA
0,16,36,78,239,RANDOM
7,14,24,0,99,RANDOM
7,25,14,18,117,GA
0,3,0,0,37,GA
1,2,1,1,40,GA
4,5,6,6,101,RANDOM
2,18,34,0,142,GA
13,22,11,26,205,GA
3,78,27,13,311,GA
6,16,33,0,278,GA
11,22,1,171,224,GA
8,16,1,78,170,GA
4,2,0,1,28,GA
0,25,4,1,69,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
12,24,1,210,242,GA
2,12,9,1,60,GA
10,38,34,74,351,GA
15,30,1,351,296,GA
2,4,1,0,62,GA
4,8,1,10,98,GA
1,2,1,1,40,GA
6,34,63,20,213,GA
4,10,2,25,97,GA
6,16,16,26,100,GA
1,10,0,33,34,GA
9,18,1,105,188,GA
6,10,1,45,49,GA
8,16,1,78,170,GA
1,2,1,1,40,GA
6,8,12,4,90,GA
4,8,1,10,98,GA
12,24,1,210,242,GA
7,14,1,55,152,GA
1,2,1,1,40,GA
18,58,27,506,434,GA
5,35,20,242,278,GA
16,7,7,0,90,GA
9,52,27,221,428,GA
3,6,1,3,80,GA
1,2,1,1,40,GA
7,19,10,19,146,GA
7,2,4,0,37,RANDOM
4,9,10,6,67,GA
1,3,0,0,48,GA
9,19,11,19,144,GA
1,2,1,1,40,GA
8,112,60,1586,403,GA
1,2,1,1,40,GA
1,9,0,36,134,GA
8,16,1,78,170,GA
8,16,1,78,170,GA
0,0,0,0,6,RANDOM
15,27,61,12,375,RANDOM
12,30,14,91,126,GA
9,18,1,105,188,GA
0,3,4,0,31,RANDOM
9,9,16,1,59,GA
18,51,31,330,259,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
7,93,51,590,473,GA
1,2,1,1,40,GA
27,73,59,439,442,RANDOM
3,7,6,1,31,GA
